# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
  257       6.972758901571e-10       3.894545219512e-13       9.758556854792e-12       0.000000000000e+00       3.149156134358e-03       2.544700542710e-03       2.358487661826e-03       1.876792555499e-03       1.794435829041e-03       2.225030045689e-09       2.323093937680e-09       2.273568338934e-09 
  258       6.944920860738e-10       4.022976751001e-13       9.960138359310e-12       0.000000000000e+00       3.156289967977e-03       2.550636208172e-03       2.364196114743e-03       1.881396483648e-03       1.798648522380e-03       2.209113509079e-09       2.308307234166e-09       2.259868150965e-09 
  259       6.916449909236e-10       4.154387261526e-13       1.015972765880e-11       0.000000000000e+00       3.163397620013e-03       2.556549624434e-03       2.369891075957e-03       1.886002323449e-03       1.802875457278e-03       2.193263776440e-09       2.293620081178e-09       2.246285646220e-09 
  260       6.887355383376e-10       4.288772114681e-13       1.035724057348e-11       0.000000000000e+00       3.170479503089e-03       2.562440838290e-03       2.375572201194e-03       1.890609591774e-03       1.807116351423e-03       2.177487577787e-09       2.279035935337e-09       2.232822673123e-09 
  261       6.857646903876e-10       4.426125543831e-13       1.055259225005e-11       0.000000000000e+00       3.177536011306e-03       2.568309874275e-03       2.381239110957e-03       1.895217764606e-03       1.811370881250e-03       2.161791666752e-09       2.264558162264e-09       2.219480937257e-09 
  262       6.827334377854e-10       4.566440638994e-13       1.074569716246e-11       0.000000000000e+00       3.184567519807e-03       2.574156734254e-03       2.386891390000e-03       1.899826276478e-03       1.815638681363e-03       2.146182819933e-09       2.250190034785e-09       2.206261999076e-09 
  263       6.796428000818e-10       4.709709333732e-13       1.093646911271e-11       0.000000000000e+00       3.191574384355e-03       2.579981397015e-03       2.392528586798e-03       1.904434519908e-03       1.819919343945e-03       2.130667836238e-09       2.235934731144e-09       2.193167271626e-09 
  264       6.764938258655e-10       4.855922392037e-13       1.112482123158e-11       0.000000000000e+00       3.198556940895e-03       2.585783817852e-03       2.398150213018e-03       1.909041844841e-03       1.824212418178e-03       2.115253536235e-09       2.221795333204e-09       2.180198018259e-09 
  265       6.732875929627e-10       5.005069395216e-13       1.131066597945e-11       0.000000000000e+00       3.205515505130e-03       2.591563928157e-03       2.403755742997e-03       1.913647558078e-03       1.828517409650e-03       2.099946761499e-09       2.207774824665e-09       2.167355350356e-09 
  266       6.700252086353e-10       5.157138728776e-13       1.149391514705e-11       0.000000000000e+00       3.212450372086e-03       2.597321635011e-03       2.409344613208e-03       1.918250922720e-03       1.832833779780e-03       2.084754373957e-09       2.193876089262e-09       2.154640225036e-09 
  267       6.667078097811e-10       5.312117569314e-13       1.167447985625e-11       0.000000000000e+00       3.219361815683e-03       2.603056820768e-03       2.414916221738e-03       1.922851157604e-03       1.837160945224e-03       2.069683255239e-09       2.180101908982e-09       2.142053442881e-09 
  268       6.633365631318e-10       5.469991871401e-13       1.185227056084e-11       0.000000000000e+00       3.226250088306e-03       2.608769342645e-03       2.420469927755e-03       1.927447436735e-03       1.841498277296e-03       2.054740306022e-09       2.166454962265e-09       2.129595645647e-09 
  269       6.599126654530e-10       5.630746354469e-13       1.202719704729e-11       0.000000000000e+00       3.233115420374e-03       2.614459032314e-03       2.426005050986e-03       1.932038888730e-03       1.845845101378e-03       2.039932445379e-09       2.152937822219e-09       2.117267313984e-09 
  270       6.564373437426e-10       5.794364489699e-13       1.219916843553e-11       0.000000000000e+00       3.239958019906e-03       2.620125695488e-03       2.431520871185e-03       1.936624596250e-03       1.850200696341e-03       2.025266610125e-09       2.139552954823e-09       2.105068765155e-09 
  271       6.529118554303e-10       5.960828486904e-13       1.236809317975e-11       0.000000000000e+00       3.246778072099e-03       2.625769111510e-03       2.437016627607e-03       1.941203595440e-03       1.854564293952e-03       2.010749754167e-09       2.126302717139e-09       2.093000150750e-09 
  272       6.493374885765e-10       6.130119281418e-13       1.253387906915e-11       0.000000000000e+00       3.253575738889e-03       2.631389032944e-03       2.442491518481e-03       1.945774875362e-03       1.858935078296e-03       1.996388847848e-09       2.113189355518e-09       2.081061454402e-09 
  273       6.457155620715e-10       6.302216520983e-13       1.269643322871e-11       0.000000000000e+00       3.260351158524e-03       2.636985185159e-03       2.447944700483e-03       1.950337377439e-03       1.863312185189e-03       1.982190877298e-09       2.100215003807e-09       2.069252489511e-09 
  274       6.420474258343e-10       6.477098552634e-13       1.285566212000e-11       0.000000000000e+00       3.267104445136e-03       2.642557265924e-03       2.453375288206e-03       1.954889994886e-03       1.867694701589e-03       1.968162843776e-09       2.087381681563e-09       2.057572896952e-09 
  275       6.383344610122e-10       6.654742409583e-13       1.301147154193e-11       0.000000000000e+00       3.273835688307e-03       2.648104944992e-03       2.458782353633e-03       1.959431572148e-03       1.872081665015e-03       1.954311763024e-09       2.074691292254e-09       2.046022142800e-09 
  276       6.345780801794e-10       6.835123798113e-13       1.316376663154e-11       0.000000000000e+00       3.280544952640e-03       2.653627863692e-03       2.464164925613e-03       1.963960904338e-03       1.876472062964e-03       1.940644664607e-09       2.062145621474e-09       2.034599516043e-09 
  277       6.307797275363e-10       7.018217084456e-13       1.331245186476e-11       0.000000000000e+00       3.287232277330e-03       2.659125634514e-03       2.469521989328e-03       1.968476736677e-03       1.880864832318e-03       1.927168591268e-09       2.049746335145e-09       2.023304126300e-09 
  278       6.269408791085e-10       7.203995281684e-13       1.345743105720e-11       0.000000000000e+00       3.293897675731e-03       2.664597840702e-03       2.474852485769e-03       1.972977763926e-03       1.885258858767e-03       1.913890598269e-09       2.037494977731e-09       2.012134901538e-09 
  279       6.230629648933e-10       7.392428920784e-13       1.359861492637e-11       0.000000000000e+00       3.300541243037e-03       2.670044193847e-03       2.480155547112e-03       1.977462855685e-03       1.889653131791e-03       1.900815950039e-09       2.025392431637e-09       2.001090698508e-09 
  280       6.191471304235e-10       7.583482626116e-13       1.373594421032e-11       0.000000000000e+00       3.307163486380e-03       2.675465016552e-03       2.485431217432e-03       1.981931746373e-03       1.894047219717e-03       1.887942608037e-09       2.013437268109e-09       1.990170645075e-09 
  281       6.151944632384e-10       7.777118336987e-13       1.386936774829e-11       0.000000000000e+00       3.313765010996e-03       2.680860783970e-03       2.490679768300e-03       1.986384379898e-03       1.898440818135e-03       1.875266456040e-09       2.001627307405e-09       1.979373811180e-09 
  282       6.112060699026e-10       7.973296392722e-13       1.399883503943e-11       0.000000000000e+00       3.320346413393e-03       2.686231967887e-03       2.495901466076e-03       1.990820686802e-03       1.902833596200e-03       1.862783073716e-09       1.989960147301e-09       1.968699095613e-09 
  283       6.071830760850e-10       8.171975517834e-13       1.412429625522e-11       0.000000000000e+00       3.326908281082e-03       2.691579036552e-03       2.501096571748e-03       1.995240584044e-03       1.907225196283e-03       1.850487733204e-09       1.978433160469e-09       1.958145223904e-09 
  284       6.031266266384e-10       8.373112807201e-13       1.424570225186e-11       0.000000000000e+00       3.333451192319e-03       2.696902454506e-03       2.506265340764e-03       1.999643974787e-03       1.911615233629e-03       1.838375395690e-09       1.967043491858e-09       1.947710746220e-09 
  285       5.990378856782e-10       8.576663711233e-13       1.436300458266e-11       0.000000000000e+00       3.339975715839e-03       2.702202682417e-03       2.511408022867e-03       2.004030748178e-03       1.916003296008e-03       1.826440707987e-09       1.955788056078e-09       1.937394035247e-09 
  286       5.949180366621e-10       8.782582021051e-13       1.447615551043e-11       0.000000000000e+00       3.346482410589e-03       2.707480176910e-03       2.516524861928e-03       2.008400779136e-03       1.920388943368e-03       1.814677999112e-09       1.944663534774e-09       1.927193284085e-09 
