# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.361471862671e-03      -1.841998291214e+00      -3.195968491215e+02      -3.198075115555e+02      -1.834178903726e+00      -3.196340185185e+02       4.585447259314e-01       4.585447259314e-01 
       7.488200308436e-03      -1.835453174357e+00      -3.294791997880e+02      -3.297014928919e+02      -1.827661609437e+00      -3.295218060011e+02       4.569154023594e-01       4.569154023594e-01 
       7.615014265164e-03      -1.828976289282e+00      -3.394870657558e+02      -3.397215166997e+02      -1.821212218148e+00      -3.395354979386e+02       4.553030545370e-01       4.553030545370e-01 
       7.741910257091e-03      -1.822516471573e+00      -3.496130111180e+02      -3.498600989632e+02      -1.814779824496e+00      -3.496676211134e+02       4.536949561240e-01       4.536949561240e-01 
       7.868885036417e-03      -1.816069380449e+00      -3.598544479915e+02      -3.601147114236e+02      -1.808360105778e+00      -3.599156390730e+02       4.520900264446e-01       4.520900264446e-01 
       7.995935566744e-03      -1.809637070068e+00      -3.702100474827e+02      -3.704839776307e+02      -1.801955108454e+00      -3.702781834033e+02       4.504887771134e-01       4.504887771134e-01 
       8.123059007952e-03      -1.803214469118e+00      -3.806772357674e+02      -3.809654051497e+02      -1.795559775353e+00      -3.807527500595e+02       4.488899438382e-01       4.488899438382e-01 
       8.250252702366e-03      -1.796809423322e+00      -3.912560616937e+02      -3.915589812856e+02      -1.789181917491e+00      -3.913393359671e+02       4.472954793728e-01       4.472954793728e-01 
       8.377514162088e-03      -1.790419611693e+00      -4.019439675597e+02      -4.022622116085e+02      -1.782819231052e+00      -4.020354379167e+02       4.457048077630e-01       4.457048077630e-01 
       8.504841057398e-03      -1.784042881832e+00      -4.127388800390e+02      -4.130729728002e+02      -1.776469571937e+00      -4.128389413345e+02       4.441173929843e-01       4.441173929843e-01 
       8.632231206107e-03      -1.777682420546e+00      -4.236396955431e+02      -4.239902117174e+02      -1.770136116017e+00      -4.237487856690e+02       4.425340290043e-01       4.425340290043e-01 
       8.759682563781e-03      -1.771338296829e+00      -4.346450043212e+02      -4.350125595224e+02      -1.763818926801e+00      -4.347635962976e+02       4.409547317004e-01       4.409547317004e-01 
       8.887193214760e-03      -1.765011119394e+00      -4.457535101712e+02      -4.461386813060e+02      -1.757518608393e+00      -4.458820449471e+02       4.393796520984e-01       4.393796520984e-01 
       9.014761363898e-03      -1.758701011388e+00      -4.569628986273e+02      -4.573663348621e+02      -1.751235293056e+00      -4.571018791196e+02       4.378088232640e-01       4.378088232640e-01 
       9.142385328955e-03      -1.752404504652e+00      -4.682707794525e+02      -4.686931615135e+02      -1.744965524083e+00      -4.684207362504e+02       4.362413810208e-01       4.362413810208e-01 
       9.270063533586e-03      -1.746124312027e+00      -4.796769382392e+02      -4.801189097040e+02      -1.738711997303e+00      -4.798383706980e+02       4.346779993258e-01       4.346779993258e-01 
       9.397794500883e-03      -1.739859110446e+00      -4.911793101441e+02      -4.916415871955e+02      -1.732473395019e+00      -4.913527797671e+02       4.331183487547e-01       4.331183487547e-01 
